"108年12月12日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","13,217,566","4,046","559,380,264","42.25","42.40","42.20","42.30","+","0.15","42.30","139","42.35","589","10.42",
"1101B","台泥乙特","53,707","18","2,870,510","53.30","53.50","53.30","53.50","+","0.20","53.50","172","53.60","8","",
"1102","亞泥","14,132,643","5,231","666,485,341","47.00","47.45","46.60","47.45","+","0.65","47.40","50","47.45","262","10.45",
"1103","嘉泥","2,026,971","623","40,400,969","20.10","20.10","19.80","19.90","-","0.15","19.85","39","19.90","23","9.85",
"1104","環泥","810,060","294","15,404,479","18.95","19.05","18.90","19.05","+","0.15","19.00","6","19.05","21","12.45",
"1108","幸福","105,000","38","815,840","7.68","7.80","7.68","7.72","+","0.04","7.71","5","7.75","5","",
"1109","信大","1,259,334","472","24,055,596","19.30","19.30","18.90","19.10","-","0.15","19.05","25","19.10","18","6.68",
"1110","東泥","6,183","5","105,042","16.95","17.00","16.95","17.00","+","0.05","16.85","1","17.00","11","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

