"108年12月09日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","11,767,308","4,656","494,002,436","41.85","42.15","41.75","42.05","+","0.30","42.05","65","42.10","627","10.36",
"1101B","台泥乙特","6,034","5","323,215","53.50","53.70","53.50","53.70"," ","0.00","53.50","1","53.70","6","",
"1102","亞泥","9,661,121","4,062","447,942,160","46.20","46.65","46.10","46.35","-","0.10","46.35","207","46.40","4","10.21",
"1103","嘉泥","1,960,722","754","38,719,019","19.50","19.95","19.50","19.85","+","0.40","19.85","32","19.90","6","9.83",
"1104","環泥","659,404","296","12,481,090","18.75","18.95","18.75","18.90","+","0.15","18.90","178","18.95","41","12.35",
"1108","幸福","115,000","47","880,550","7.64","7.80","7.60","7.62","-","0.02","7.62","6","7.70","6","",
"1109","信大","499,000","170","9,178,850","18.45","18.50","18.35","18.35","-","0.10","18.30","46","18.35","13","6.42",
"1110","東泥","13,000","5","220,950","17.00","17.00","16.95","17.00"," ","0.00","16.85","4","17.00","36","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

