"109年03月05日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","10,483,070","4,048","451,950,451","42.90","43.30","42.85","43.30","+","0.45","43.25","160","43.30","691","10.66",
"1101B","台泥乙特","3,045","4","164,425","54.00","54.10","53.90","54.10"," ","0.00","53.80","101","54.10","21","",
"1102","亞泥","5,738,844","2,564","249,897,168","43.50","43.75","43.40","43.55","+","0.15","43.55","56","43.60","54","9.59",
"1103","嘉泥","872,399","474","17,444,080","20.00","20.10","19.90","20.00","+","0.10","19.95","3","20.00","59","9.90",
"1104","環泥","430,521","211","7,600,922","17.70","17.75","17.60","17.65","+","0.05","17.60","51","17.65","30","11.54",
"1108","幸福","51,000","18","385,330","7.54","7.59","7.54","7.55","+","0.01","7.55","8","7.56","7","",
"1109","信大","344,010","204","6,007,274","17.20","17.60","17.20","17.55","+","0.35","17.50","3","17.55","2","6.14",
"1110","東泥","39,000","26","648,400","16.90","16.90","16.30","16.80","+","0.05","16.65","1","16.80","12","840.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

